gene,n_structural,n_contact,median_structural,median_contact,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
LRIT3,68,142,0.12494552824622296,0.12577996748702705,-0.11641396635509875,-0.40566908107806177,0.17284114836786424,4590.0,0.5643534466676603,,0.9699546146014512,False
PSMC5,68,142,-1.4314385151609235,-1.4259335060747245,-0.11641178985204644,-0.40566689656328214,0.1728433168591893,4714.0,0.7829686580864913,,0.9884513702585467,False
SMYD5,68,142,-0.11096007029997296,-0.11110844442109899,-0.11639669236205569,-0.4056517435034122,0.17285835877930084,4645.0,0.65783219891224,,0.9812556783375721,False
HDAC6,68,142,0.0063649900065184005,0.04092594312494115,-0.11635836072830373,-0.40561327081335685,0.17289654935674936,4249.0,0.16033134300449903,,0.8957816840172166,False
LUC7L,68,142,0.021035487603406698,0.029274827489666252,-0.11635289290292485,-0.40560778287074734,0.17290199706489767,4672.0,0.7058897555593896,,0.9853880270093744,False
C12orf43,68,142,-0.05812102576361006,-0.057766462967308946,-0.1163169300248589,-0.4055716877015333,0.1729378276518155,4477.0,0.3949769937229767,,0.9446011872637892,False
NABP2,68,142,-0.15726464934977716,-0.15009027407250813,-0.11630669051624484,-0.40556141053387096,0.1729480295013813,4570.0,0.5320201876962649,,0.9699158901008881,False
TNFRSF11A,68,142,0.06789456120422685,0.06177412273392065,-0.11630602542873339,-0.40556074300040323,0.17294869214293648,4760.0,0.8698765235243281,,0.9925393536948601,False
L3MBTL1,68,142,-0.17747216978681224,-0.15812622886248356,-0.11629047310633414,-0.40554513348605314,0.17296418727338483,4438.0,0.34451843521975145,,0.9336754982909935,False
SERPINB12,68,142,0.09270549195461865,0.12423873414887329,-0.1162024790244274,-0.40545681595945293,0.1730518579105981,4420.0,0.3226830985256709,,0.9320281313891438,False
CMKLR1,68,142,-0.03959844720927985,0.01246882042962835,-0.11619454120762389,-0.40544884897720046,0.17305976656195265,4437.0,0.3432811737184761,,0.9336754982909935,False
MGME1,68,142,0.015249027328539149,0.043174198875984046,-0.11619027323193254,-0.4054445653207619,0.17306401885689682,4350.0,0.246520685768851,,0.9125438514701212,False
SKIL,68,142,-0.05489152242791745,-0.0327327874376455,-0.11617961749901858,-0.40543387044068496,0.17307463544264784,4460.0,0.37245540066372096,,0.9402362085458511,False
ITGAL,68,142,-0.0215924424152685,-0.0227356215105682,-0.11617723792795874,-0.40543148212801733,0.17307700627209982,4577.0,0.5432293319538688,,0.9699158901008881,False
TMEM270,68,142,-0.15432830779087936,-0.1523660554234589,-0.11617453741384084,-0.4054287716934897,0.17307969686580796,4618.0,0.6111488420695056,,0.9740124926272851,False
AP4E1,68,142,-0.04796582396604315,-0.04090419383620495,-0.11615361089081407,-0.40540776830413483,0.17310054652250673,4551.0,0.5021975149291469,,0.9656733126213976,False
ALKBH4,68,142,-0.1339760490118116,-0.11802587905561154,-0.11615150042693907,-0.4054056500889699,0.17310264923509178,4471.0,0.3869358142383943,,0.9427811108505699,False
VSIG4,68,142,0.05967069787078065,0.06803768440464264,-0.11609576382036918,-0.4053497088244676,0.17315818118372922,4499.0,0.4253147927640558,,0.9505570919920585,False
