gene,n_Y220C,n_other_mut,median_Y220C,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
SP4,11,784,0.0647661978538184,0.07886771977538956,-0.07737447917624989,-0.6724692727026751,0.5177203143501754,3907.0,0.5927823358104286,,0.9711319343101998,False
RBCK1,11,784,0.0745090485692506,0.09152596669427396,-0.07734428276445258,-0.672439066807103,0.5177505012781978,4204.0,0.88697669568794,,0.9954644891934857,False
DELE1,11,784,0.0082241669335967,0.00681360949967035,-0.07733602428316962,-0.6724308057327267,0.5177587571663874,4062.0,0.7414939195085191,,0.986681094017654,False
NTN4,11,784,-0.0718093437855355,-0.032725964686152104,-0.07730246279027947,-0.6723972337046609,0.5177923081241018,4033.0,0.7127107529605547,,0.9850793506029518,False
PISD,11,784,-0.4883784282722708,-0.4651706491812573,-0.07726747196809888,-0.6723622319034975,0.5178272879672997,4006.0,0.6862745771015019,,0.9816948692367301,False
ELOVL2,11,784,-0.0262742331433093,-0.023394396340703047,-0.07724626993865595,-0.672341023223965,0.5178484833466532,4015.0,0.6950459783166776,,0.9836831712147333,False
CIC,11,784,0.0456399309464303,-0.0418851204604425,-0.0772438066090846,-0.6723385591218803,0.5178509459037112,4885.0,0.44909233574311624,,0.9529951534076364,False
ASNSD1,11,784,-0.1677224012641026,-0.13452519758504444,-0.07722451105496461,-0.6723192575174227,0.5178702354074934,3874.0,0.5629675846843988,,0.9655204968179785,False
C5AR2,11,784,0.0178510447634718,0.06765374375496765,-0.07719849684100537,-0.672293235148807,0.5178962414667964,3913.0,0.5982800174922964,,0.9715213070722319,False
KLLN,11,784,-0.0754759004671261,-0.060163917389438,-0.0769717163124929,-0.67206638364794,0.5181229510229542,4112.0,0.7919584556767708,,0.988669641431971,False
WDR17,11,784,0.0504554005483286,0.040907136512382494,-0.07695683014209728,-0.6720514928261286,0.518137832541934,4242.0,0.9267860640196315,,0.9977803470329059,False
PTGES2,11,784,-0.1479008327038651,-0.14316199592926965,-0.07687817621234609,-0.6719728143346665,0.5182164619099744,4087.0,0.7666024222480883,,0.9881554666661894,False
ZCCHC13,11,784,-0.0290941656153947,-0.01520237604745525,-0.07687034764442527,-0.6719649833234485,0.518224288034598,4106.0,0.7858517857851408,,0.988669641431971,False
DTX3L,11,784,0.0216405334889412,0.01181954363900195,-0.0768061617494733,-0.6719007774054516,0.518288453906505,4145.0,0.8257641006897445,,0.9904154198173775,False
SYCN,11,784,-0.0136945131621703,-0.0080127492050617,-0.07676553903866785,-0.6718601420308725,0.5183290639535367,4188.0,0.8702939305138532,,0.9939488272680762,False
GCNA,11,773,-0.0339902495876702,-0.062196694085112,-0.07673337984925217,-0.6718867213884331,0.5184199616899287,4378.0,0.8658414613888036,,0.9939036083197053,False
OR6C2,10,691,-0.08822462721906335,-0.0695234444304696,-0.0766747355313896,-0.7009513290267911,0.547601857964012,3246.0,0.7429600491519289,,0.9868850601124401,False
TIFAB,11,784,-0.0284959951185691,-0.031890048830204104,-0.0766659712137737,-0.6717605431949162,0.5184286007673687,3948.0,0.6308005291427037,,0.9752582421760108,False
SNAI2,11,784,0.008782873388117,-0.049172613566956846,-0.07664939745716552,-0.6717439642802083,0.5184451693658774,4386.0,0.9225851991468779,,0.9977803470329059,False
ZBTB43,11,784,-0.0038323455488962,-0.0153779605945435,-0.07662672747143107,-0.6717212872409062,0.518467832298044,4414.0,0.893246077246473,,0.9954644891934857,False
LITAF,11,784,0.0196810654632188,0.04228742305146095,-0.0764759001628008,-0.6715704130567963,0.5186186127311947,4342.0,0.9688877305503477,,0.9985865142715862,False
FBXO5,11,784,-1.1894417108687634,-1.1508178129210993,-0.07646785966646143,-0.6715623700641513,0.5186266507312285,4075.0,0.7545179072129009,,0.9879374704321743,False
TAL2,11,784,0.0327742592102898,0.05032128431188035,-0.07642449413783399,-0.6715189910765009,0.5186700028008329,4007.0,0.687247119341978,,0.9816948692367301,False
