gene,n_R175H,n_other_mut,median_R175H,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
XCL2,24,666,-0.010698197144703249,-0.09954014064598585,0.19360306828006127,-0.21374577258842656,0.6009519091485491,8981.0,0.3028448870956052,,0.9703041375622421,False
MED13L,29,766,-0.0516183714933375,-0.12153478290592035,0.19367402605050485,-0.17722984325715282,0.5645778953581625,13437.0,0.0549796112210642,,0.9344449372558313,False
TNPO3,29,766,-1.2650200065725778,-1.35213897943517,0.1936788113972211,-0.1772250639475293,0.5645826867419714,12950.0,0.1290527925709961,,0.9641225477761958,False
SCAMP2,29,766,0.0035801804837517,-0.00664849377005545,0.1937312633743747,-0.17717267815245777,0.5646352049012072,11793.0,0.572268655259733,,0.983453062819846,False
NEU2,29,766,-0.1028526610523663,-0.11514448806190924,0.19373126924936654,-0.17717267228487985,0.5646352107836129,12233.0,0.3538307026212688,,0.9703041375622421,False
OR9G4,24,677,-0.0119820839102923,-0.024946139336845,0.19373474498067528,-0.21349720613870365,0.6009666961000542,8961.0,0.3908916242911612,,0.9749337809332346,False
ECE1,29,766,0.0004791811280174,-0.036167768704019956,0.1937573113823655,-0.1771466630175936,0.5646612857823246,12686.0,0.19347587936695632,,0.9641225477761958,False
MST1R,29,766,-0.0347987794471147,-0.03473267004703945,0.1937736730514015,-0.17713032199958192,0.564677668102385,11932.0,0.4969975851601871,,0.9804894932204153,False
CHPF,29,766,0.0347652845941804,0.0320570174595803,0.19378427580310806,-0.17711973263116207,0.5646882842373782,11937.0,0.4943917730995516,,0.9804894932204153,False
ITGB7,29,766,-0.0812299004753749,-0.0997913812632006,0.19379731841264541,-0.17710670648561738,0.5647013433109083,12314.0,0.3202656029984686,,0.9703041375622421,False
TMPO,29,766,-0.0204427005759974,-0.0352881264014131,0.193807193775616,-0.17709684358928623,0.5647112311405182,12021.0,0.45172673024454224,,0.9804894932204153,False
OSR2,29,766,0.0029818186198545,0.0053015165150128,0.1938222661567528,-0.17708179023671866,0.5647263225502243,12180.0,0.3769536002009256,,0.9745033167824102,False
TM9SF3,29,766,-0.0084947219669913,-0.03827206322416355,0.19383687230121663,-0.17706720253362082,0.564740947136054,12063.0,0.4312005373040495,,0.9790672656511015,False
PSG3,29,766,-0.0271728676934741,-0.0405206793042648,0.19386157108150437,-0.17704253494057742,0.5647656771035862,12443.0,0.2712527626273993,,0.9701734918790057,False
SIN3A,29,766,-0.7650391953988849,-0.8361145183421477,0.1938618747070188,-0.1770422316984768,0.5647659811125144,12610.0,0.21580639365450938,,0.9641225477761958,False
TOP3B,29,766,-0.1394100505651303,-0.15773660669660522,0.19388792105236963,-0.17701621824629932,0.5647920603510386,12158.0,0.386819421752459,,0.9749337809332346,False
DENND4A,29,766,-0.1280093976684172,-0.1318442589343583,0.19389008029244428,-0.17701406173326448,0.564794222318153,11296.0,0.8765959206694575,,0.9956646945825633,False
CEP89,29,766,-0.0300236460826362,-0.0838591505549393,0.1939266098274269,-0.17697757833832448,0.5648307979931783,13108.0,0.09935107197093215,,0.9641225477761958,False
DACT1,29,766,0.0572747421305644,0.0399095044036111,0.19397933236232442,-0.17692492241198024,0.5648835871366291,12462.0,0.2644930604470189,,0.9701734918790057,False
HOXC13,29,766,-0.1204411549396746,-0.14987972695503585,0.19400623408844409,-0.17689805467991326,0.5649105228568014,12192.0,0.3716382523451256,,0.9726821635966204,False
COL4A2,29,766,0.0536298348341861,0.04653824747777935,0.19404862465126987,-0.17685571769298852,0.5649529669955282,12182.0,0.3760644677616327,,0.974311800525045,False
GPR4,29,766,0.0797725001943309,0.0547422665584097,0.1940503649845066,-0.1768539795595461,0.5649547095285593,12503.0,0.25030452306180606,,0.9690040735316359,False
HMCES,29,766,-0.1188336441396407,-0.136420052880859,0.19405450593210197,-0.17684984384621885,0.5649588557104228,11916.0,0.5053851243089466,,0.9804894932204153,False
RFC3,29,766,-1.4699540306206798,-1.5930588088026731,0.19410654597632848,-0.17679786959151117,0.5650109615441681,12730.0,0.18134926468069945,,0.9641225477761958,False
TRIM39,29,766,0.0531280382088918,0.03623628950053115,0.19416333512996298,-0.17674115225138026,0.5650678225113062,12040.0,0.44237337170699176,,0.980106609002037,False
CRY2,29,766,0.0331285313788767,0.0027630272424947,0.19428323258384492,-0.1766214064844189,0.5651878716521087,12168.0,0.3823155759797715,,0.9749337809332346,False
LRRC8E,29,766,-0.1091999044898452,-0.11170939793074294,0.1943868010237582,-0.17651796914828524,0.5652915711958016,11636.0,0.6632886461466577,,0.9890288103802586,False
GEMIN4,29,766,-0.7866072558032824,-0.8585393425439923,0.19441167378735189,-0.17649312788067836,0.5653164754553821,12783.0,0.16750246318006,,0.9641225477761958,False
NFRKB,29,766,-0.4408484502270699,-0.5228700500823287,0.19441644845383058,-0.17648835926074494,0.5653212561684061,12603.0,0.21795288316122519,,0.9646502566257839,False
ORC1,29,766,-0.8003415164486314,-0.8329640172261605,0.19456347917293876,-0.17634151481114274,0.5654684731570203,11999.0,0.4626953175152638,,0.9804894932204153,False
PIK3CB,29,766,-0.0596217504596151,-0.10488005315420851,0.19458565053577098,-0.17631937154886035,0.5654906726204023,12393.0,0.2896033042129613,,0.9703041375622421,False
CUL4B,29,766,-0.0118112709015282,-0.00196338939932355,0.19463450115338965,-0.17627058285705055,0.5655395851638298,11626.0,0.6692779166634588,,0.9890288103802586,False
ZNF763,29,766,-0.0771053837415735,-0.09201449141617754,0.19466940680071895,-0.17623572146761177,0.5655745350690496,11978.0,0.47330245431290996,,0.9804894932204153,False
CCDC6,29,766,-0.1898095579199454,-0.2066731943575699,0.1946877703315263,-0.17621738122364572,0.5655929218866983,12145.0,0.3927225830584654,,0.9749337809332346,False
TBCE,29,766,-0.46593710393957,-0.5204722461066054,0.19472343354308078,-0.17618176324297383,0.5656286303291354,12598.0,0.21949545742196186,,0.9646502566257839,False
PSTPIP2,29,766,0.0876004820626217,0.05656556535627265,0.19482393495272443,-0.1760813893416424,0.5657292592470913,12878.0,0.14469333746395877,,0.9641225477761958,False
OR2B11,24,677,-0.08954806644708616,-0.1235149394475628,0.19483477704531724,-0.2123986120434425,0.602068166134077,9436.0,0.17855710819127346,,0.9641225477761958,False
IQSEC3,29,766,-0.0501521455577493,-0.044964834627454195,0.1948363970968347,-0.17606894301310583,0.5657417372067752,12016.0,0.45420660039359717,,0.9804894932204153,False
NOVA2,29,766,0.1603702984615982,0.1350632120039059,0.1948519587151881,-0.17605340114525517,0.5657573185756314,12275.0,0.3361580649229102,,0.9703041375622421,False
TBKBP1,29,766,-0.2388020433791131,-0.26566791668390644,0.19485468532201686,-0.1760506779991449,0.5657600486431786,12454.0,0.26732496359225755,,0.9701734918790057,False
NCOA1,29,766,-0.0830503642315431,-0.12045710837020235,0.19485504047664198,-0.17605032329529985,0.5657604042485838,13107.0,0.099520232454366,,0.9641225477761958,False
NDFIP1,29,766,0.0872516994490633,0.07153811252267961,0.19487313950239152,-0.17603224724282693,0.5657785262476099,12253.0,0.34534314037283964,,0.9703041375622421,False
JAKMIP2,29,766,0.0257652382534453,0.0257748764237134,0.19488246170821646,-0.17602293687060425,0.5657878602870372,11718.0,0.6150144395470593,,0.986212119076938,False
BHLHA15,29,766,-0.2145035773040759,-0.22200826915964894,0.19492825218492946,-0.17597720452850743,0.5658337088983664,11995.0,0.46470544498609556,,0.9804894932204153,False
CAMK1,29,766,0.0275640397505436,0.03952634968942455,0.19497141281960856,-0.17593409870214854,0.5658769243413657,11861.0,0.5347761334300667,,0.9833519290347225,False
ABI3BP,29,766,0.0967127011343507,0.08358049168435655,0.19504334458144387,-0.17586225831111993,0.5659489474740077,11878.0,0.5256004026402976,,0.9825517809841715,False
ZNF589,29,766,0.0463280605816533,0.0335335565097076,0.1950770436237914,-0.175828602086326,0.5659826893339088,11746.0,0.598891688450031,,0.9849474073047186,False
KCNRG,29,766,0.0032862864675625,-0.0048278189889347,0.19509980872235375,-0.17580586591697797,0.5660054833616854,12210.0,0.3637528945128994,,0.9703143635094911,False
SCYL3,29,766,-0.0591326294627759,-0.073330567359275,0.19515225732019198,-0.1757534839821066,0.5660579986224905,12154.0,0.38862998687410033,,0.9749337809332346,False
SLX4,29,766,-0.2761922039576503,-0.2909681900170801,0.19518669302088237,-0.1757190920594543,0.5660924781012191,12328.0,0.314682430717244,,0.9703041375622421,False
PSMF1,29,766,-0.2037550040413701,-0.2335549579288216,0.1951991407954325,-0.17570666011163472,0.5661049417024997,11938.0,0.49387148883691123,,0.9804894932204153,False
COBL,29,766,0.0861231929100426,0.05840173769322555,0.1952035205166865,-0.17570228595921988,0.5661093269925929,12509.0,0.2482735954278541,,0.9690040735316359,False
SLC17A2,29,766,0.0275781127897849,0.0040079253990727495,0.19524084104854408,-0.17566501288568462,0.5661466949827728,12731.0,0.181080370672554,,0.9641225477761958,False
DNTT,29,766,0.0082341526913323,-0.0125978923431792,0.19533327143669216,-0.17557270007485115,0.5662392429482355,12619.0,0.21306904815061833,,0.9641225477761958,False
DNAJC5B,29,766,-0.0108534922020039,-0.0233747933242301,0.1954578710229686,-0.1754482590751628,0.5663640011211,12351.0,0.3056498062519184,,0.9703041375622421,False
NSF,29,766,-2.468021241431318,-2.515313560072363,0.19545865274575294,-0.17544747834765065,0.5663647838391566,12141.0,0.3945498692467998,,0.9749337809332346,False
PRAC1,29,766,-0.3669270951217421,-0.391266886910722,0.19547053178551055,-0.175435614432513,0.5663766780035341,12496.0,0.2526885668892279,,0.9690040735316359,False
DOCK8,29,766,0.0180278588533549,0.0065805398388294,0.19558298341512037,-0.17532330602396712,0.5664892728542079,12142.0,0.39409256620552113,,0.9749337809332346,False
PDLIM7,29,766,-0.0111676328528617,-0.0364832171003601,0.1956505223362525,-0.1752558531615732,0.5665568978340781,12297.0,0.32713170241455314,,0.9703041375622421,False
SCFD1,29,766,-1.094844951540257,-1.2700614473951797,0.19570810098422978,-0.17519834790430625,0.5666145498727658,12885.0,0.14311176474871398,,0.9641225477761958,False
CRMP1,29,766,-0.0539830895520485,-0.0668176145477601,0.19571941540654936,-0.17518704790607614,0.5666258787191749,12379.0,0.29488789100924584,,0.9703041375622421,False
FAM178B,29,766,-0.0529560404898015,-0.0725261735093845,0.1957274288114502,-0.17517904471749643,0.5666339023403968,12320.0,0.3178649327606319,,0.9703041375622421,False
