drug_id,drug_name,n_group1,n_group2,median_group1,median_group2,cohens_d,mannwhitney_U,pvalue,fdr
BRD:BRD-K83144676-001-09-5,,38,69,0.0281,0.0136,0.0717,1353.0,0.7870422125358405,0.9966686182264924
BRD:BRD-K79501723-001-04-6,,38,69,0.1117,0.1588,-0.1351,1269.0,0.7870422125358405,0.9966686182264924
BRD:BRD-A12896037-001-04-3,,38,69,-0.3754,-0.3973,0.013,1353.0,0.7870422125358405,0.9966686182264924
BRD:BRD-K38168441-001-03-7,,38,69,0.0973,0.1009,0.18,1353.0,0.7870422125358405,0.9966686182264924
BRD:BRD-A10039652-001-01-2,,38,65,-0.1464,-0.1698,-0.0099,1275.0,0.7871799542754062,0.9966686182264924
BRD:BRD-K00003494-001-01-9,rosiptor,49,114,0.0546,0.1167,0.1775,2868.0,0.7874419114768678,0.9966686182264924
BRD:BRD-K00003279-001-01-9,PF-06282999,49,116,0.118,0.0858,0.0462,2918.0,0.7877369319374214,0.9966686182264924
BRD:BRD-K56807945-001-01-2,,39,70,-0.0562,-0.0784,-0.1555,1322.0,0.7881918705922125,0.9966686182264924
BRD:BRD-K68764924-001-03-2,,39,70,-0.0163,-0.0066,0.0503,1408.0,0.7881918705922125,0.9966686182264924
BRD:BRD-K43887077-003-26-3,,39,69,0.0134,0.1056,-0.0112,1388.0,0.788207138781363,0.9966686182264924
BRD:BRD-A41692738-001-07-6,,39,69,-0.069,0.0679,-0.0694,1303.0,0.788207138781363,0.9966686182264924
BRD:BRD-A48300215-001-04-8,,39,69,-0.8168,-0.8101,-0.0223,1303.0,0.788207138781363,0.9966686182264924
BRD:BRD-K61236135-001-08-2,,39,69,0.2485,0.2007,0.0521,1388.0,0.788207138781363,0.9966686182264924
BRD:BRD-K46937689-001-15-0,,39,67,-0.134,-0.1008,-0.0848,1265.0,0.7882342385679328,0.9966686182264924
BRD:BRD-K41438959-001-01-7,,40,71,-0.5769,-0.5222,-0.0487,1376.0,0.7893269019762625,0.9968483954443252
BRD:BRD-K93645900-001-11-3,,40,71,-0.0355,-0.0623,-0.061,1376.0,0.7893269019762625,0.9968483954443252
BRD:BRD-K61443650-236-13-1,,40,71,-1.0326,-1.0616,0.044,1464.0,0.7893269019762625,0.9968483954443252
BRD:BRD-A75726477-003-21-3,,40,71,-0.6956,-0.7317,0.1042,1464.0,0.7893269019762625,0.9968483954443252
BRD:BRD-K32033120-001-01-1,,31,65,-0.3674,-0.3305,-0.0397,973.0,0.7899255311445227,0.9968483954443252
BRD:BRD-K89462779-001-02-9,CU-T12-9,49,115,-0.1796,-0.1703,0.0472,2743.0,0.7903562681172955,0.9968483954443252
BRD:BRD-K92658264-001-02-9,OF-1,49,115,-0.1276,-0.1834,0.027,2892.0,0.7903562681172955,0.9968483954443252
BRD:BRD-K80025777-001-01-4,,40,70,0.144,0.1927,-0.0691,1357.0,0.7917166176105642,0.9968483954443252
BRD:BRD-K96029467-003-01-9,,40,70,0.1092,0.1568,-0.1018,1357.0,0.7917166176105642,0.9968483954443252
BRD:BRD-K16195444-003-26-0,,40,70,0.1517,0.0593,0.0282,1443.0,0.7917166176105642,0.9968483954443252
BRD:BRD-A39052811-048-11-0,,40,70,0.3603,0.2954,0.0287,1443.0,0.7917166176105642,0.9968483954443252
BRD:BRD-K75360161-001-18-0,,40,70,-0.2413,-0.2505,0.0678,1443.0,0.7917166176105642,0.9968483954443252
BRD:BRD-K76381435-001-08-6,,38,69,-0.1655,-0.1855,0.0015,1352.0,0.7920544691736574,0.9968483954443252
BRD:BRD-K83245588-001-01-4,,38,69,-0.315,-0.4426,-0.0565,1352.0,0.7920544691736574,0.9968483954443252
