gene,n_R248W,n_other_mut,median_R248W,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
BAG2,69,726,-0.0597768713543875,-0.06991540327985125,0.07538872750041563,-0.17154914554134104,0.32232660054217227,26808.0,0.3341553297336983,,0.9462435905716101,False
NUDT19,69,726,0.0408242612565409,0.03141804838988,0.07539414581131752,-0.17154373122709993,0.322332022849735,26247.0,0.5105229510603215,,0.9706486094223968,False
RABL3,69,726,0.0098389910027069,0.0076246864782336995,0.07543710927720368,-0.17150079946214195,0.32237501801654933,25639.0,0.7455701092585572,,0.9846141703822358,False
MADD,69,726,-0.0048663562726996,-0.014170884359640399,0.07550483242897646,-0.1714331263170865,0.3224427911750394,26206.0,0.5250816474769935,,0.9733525298159795,False
AGTRAP,69,726,0.0625111037545901,0.04581311483244315,0.07551255571941126,-0.17142540873237258,0.32245052017119513,26839.0,0.3257137932367654,,0.9460537800805741,False
KDM5A,69,726,-0.122512129626729,-0.11756997412405985,0.07554898673857077,-0.17138900463515672,0.32248697811229826,25429.0,0.8342266360042252,,0.9855497901217778,False
PSAP,69,726,-0.0096887006791827,-0.011395951089727002,0.07555269661625794,-0.17138529749973846,0.32249069073225434,26581.0,0.40020796386760116,,0.9624157182516353,False
NDUFA9,69,726,-0.3323795838835026,-0.310523328097716,0.07558995339231211,-0.17134806827062823,0.32252797505525244,25178.0,0.9429282794830837,,0.9940412122647524,False
TAF7,69,726,-0.8694301673548775,-0.8662181384385159,0.0756174654700167,-0.1713205765435401,0.3225555074835735,25683.0,0.727371904733922,,0.9838032569467552,False
MSMB,69,726,-0.0125365493970467,-0.032144669326065994,0.07564448571173046,-0.1712935762958394,0.32258254771930034,25919.0,0.6325869601016687,,0.9813551749863859,False
UBB,61,640,-0.1512239912131881,-0.16944828837832765,0.07566307828000106,-0.18700153737312686,0.338327693933129,20671.0,0.44648004055494805,,0.965086619004918,False
CYLC1,69,726,0.1514586256487609,0.14843743876386933,0.07567483727888004,-0.17126324719628122,0.3226129217540413,26229.0,0.5168884836955998,,0.971930306328209,False
