gene,d_unstratified,fdr_unstratified,cs_unstratified,d_tp53mut,fdr_tp53mut,n_lost_tp53mut,n_intact_tp53mut,d_tp53wt,fdr_tp53wt,n_lost_tp53wt,n_intact_tp53wt,confounding_class
SP5,-0.3321,0.5616487887061005,0.0832,-0.2829,0.9999689672426924,52,376,-0.4555,0.8565507742402518,15,209,not significant
TBXA2R,-0.332,0.6866422565440923,0.0542,-0.4279,0.9999689672426924,52,376,-0.1575,0.9614980034240307,15,209,not significant
WDR54,-0.3318,0.7119858820355325,0.0489,-0.2134,0.9999689672426924,52,376,-0.6464,0.9122216046183111,15,209,not significant
CEP68,-0.3312,0.7645918294910587,0.0386,-0.3777,0.9999689672426924,52,376,-0.2647,0.9200234123462353,15,209,not significant
SRSF2,-0.3309,0.5712326335984785,0.0805,-0.3345,0.9999689672426924,52,376,-0.2579,0.9015952170117766,15,209,not significant
RPSA,-0.3308,0.8264189575114487,0.0274,-0.3786,0.9999689672426924,18,86,-0.1283,0.9851186467217348,5,21,not significant
NKAIN2,-0.3306,0.6780490098953341,0.0558,-0.2183,0.9999689672426924,52,376,-0.6967,0.8565507742402518,15,209,not significant
RETSAT,-0.3305,0.5598093086198781,0.0833,-0.3104,0.9958368092609757,52,376,-0.3676,0.9563843618113319,15,209,not significant
KIAA0930,-0.3302,0.8273583178811125,0.0272,-0.2155,0.9999689672426924,52,376,-0.6405,0.9015952170117766,15,209,not significant
NOTO,-0.3299,0.6780490098953341,0.0557,-0.2869,0.9999689672426924,52,376,-0.458,0.9015952170117766,15,209,not significant
AGO1,-0.3293,0.6967120484934631,0.0517,-0.2663,0.9999689672426924,52,376,-0.5121,0.8565507742402518,15,209,not significant
VDAC2,-0.3291,0.887094148871769,0.0171,-0.3561,0.9999689672426924,52,376,-0.1757,0.9894254811684868,15,209,not significant
ALDOB,-0.3285,0.6231686730150399,0.0675,-0.254,0.9999689672426924,52,376,-0.541,0.8565507742402518,15,209,not significant
HOMER3,-0.3277,0.5910446511533526,0.0748,-0.2418,0.9999689672426924,52,376,-0.6494,0.8565507742402518,15,209,not significant
DNAAF11,-0.3272,0.6889998584401925,0.0529,-0.2873,0.9999689672426924,52,376,-0.2944,0.9283903501386669,15,209,not significant
LMNA,-0.3265,0.5221159999823018,0.0921,-0.2104,0.9999689672426924,52,376,-0.7411,0.8565507742402518,15,209,not significant
PRR14L,-0.3263,0.5221159999823018,0.0921,-0.3832,0.9085634321589086,52,376,-0.218,0.9354363477753087,15,209,not significant
SMIM10,-0.3263,0.6780490098953341,0.0551,-0.326,0.9999689672426924,52,376,-0.4278,0.9015952170117766,15,209,not significant
TAFA5,-0.3262,0.5616487887061005,0.0817,-0.2919,0.9999689672426924,52,376,-0.4312,0.9015952170117766,15,209,not significant
GNAQ,-0.3261,0.5910446511533526,0.0745,-0.4496,0.9085634321589086,52,376,-0.2309,0.9503019545531746,15,209,not significant
NTN5,-0.3261,0.6780490098953341,0.055,-0.264,0.9999689672426924,52,376,-0.4201,0.8801446036990509,15,209,not significant
OR5AP2,-0.3259,0.6780490098953341,0.055,-0.3149,0.9999689672426924,48,364,-0.3936,0.9265343850402622,13,206,not significant
TBX20,-0.3253,0.6780490098953341,0.0549,-0.3214,0.9999689672426924,52,376,-0.2456,0.9492797224876868,15,209,not significant
PDCD10,-0.3252,0.5616487887061005,0.0815,-0.3264,0.9999689672426924,52,376,-0.2984,0.9573783798598581,15,209,not significant
C6orf141,-0.3251,0.5221159999823018,0.0918,-0.3355,0.9999689672426924,52,376,-0.3548,0.8997905592720049,15,209,not significant
ECE2,-0.3245,0.8273583178811125,0.0267,-0.2135,0.9999689672426924,18,104,-0.6675,0.9015952170117766,5,30,not significant
DHX38,-0.3239,0.5559311675252981,0.0826,-0.3102,0.9999689672426924,52,376,-0.254,0.9503931024834732,15,209,not significant
ARHGEF28,-0.322,0.5559311675252981,0.0821,-0.2266,0.9999689672426924,52,376,-0.5687,0.8565507742402518,15,209,not significant
OS9,-0.3214,0.5221159999823018,0.0907,-0.2091,0.9999689672426924,52,376,-0.6612,0.8565507742402518,15,209,not significant
OR2L2,-0.3207,0.7297637036844843,0.0439,-0.2967,0.9999689672426924,48,364,-0.2626,0.9640694767018199,13,206,not significant
RAB43,-0.3207,0.6018488080653603,0.0707,-0.3465,0.9999689672426924,52,376,-0.3183,0.9473751286497097,15,209,not significant
TM4SF1,-0.32,0.5559311675252981,0.0816,-0.368,0.9999689672426924,52,376,-0.1096,0.9473751286497097,15,209,not significant
ARHGEF18,-0.3199,0.652963848166138,0.0592,-0.3369,0.9999689672426924,52,376,-0.2472,0.946491484064894,15,209,not significant
FAM227B,-0.3198,0.6967120484934631,0.0502,-0.1758,0.9999689672426924,52,376,-0.6692,0.8684101609409209,15,209,not significant
TNFAIP2,-0.3193,0.7644949895520278,0.0372,-0.2927,0.9999689672426924,52,376,-0.4357,0.9015952170117766,15,209,not significant
H2AC15,-0.3191,0.7586037220629763,0.0383,-0.212,0.9999689672426924,52,376,-0.7541,0.8565507742402518,15,209,not significant
TAS2R1,-0.3187,0.6780490098953341,0.0538,-0.1868,0.9999689672426924,52,376,-0.7316,0.8565507742402518,15,209,not significant
SH2D6,-0.3185,0.872350593327926,0.0189,-0.345,0.9999689672426924,18,104,-0.2109,0.9741047635699424,5,30,not significant
EEF2K,-0.3183,0.6967120484934631,0.05,-0.2198,0.9999689672426924,52,376,-0.5584,0.8565507742402518,15,209,not significant
CD44,-0.3183,0.5864969711684321,0.0738,-0.2449,0.9999689672426924,52,376,-0.4481,0.8997905592720049,15,209,not significant
AGBL5,-0.3182,0.6451632751223236,0.0606,-0.2796,0.9999689672426924,52,376,-0.483,0.9015952170117766,15,209,not significant
XPOT,-0.3178,0.7297637036844843,0.0435,-0.1461,0.9999689672426924,52,376,-0.906,0.8565507742402518,15,209,not significant
