cancer_type,gene,cohens_d,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,fdr,composite_score,gene_set
Pan-cancer (RAS-excluded),POMK,-0.347,0.030960426264017238,67,585,0.0195,0.0638,0.7294432941056088,0.0475,
Pan-cancer (RAS-excluded),POLR2I,-0.3467,0.003951293809616445,67,585,-2.1206,-1.9612,0.5559311675252981,0.0884,
Pan-cancer (RAS-excluded),TAOK2,-0.346,0.006893610030286742,67,585,-0.074,-0.0344,0.5910446511533526,0.079,
Pan-cancer (RAS-excluded),FBXL17,-0.3448,0.007036894582018605,67,585,-0.0268,0.0219,0.5951818714630925,0.0777,
Pan-cancer (RAS-excluded),LEP,-0.3446,0.002915431080162973,67,585,-0.0722,-0.0353,0.5559311675252981,0.0879,
Pan-cancer (RAS-excluded),OR7E24,-0.3433,0.013070320116001233,61,570,-0.189,-0.1564,0.6780490098953341,0.0579,
Pan-cancer (RAS-excluded),ZDHHC14,-0.3429,0.00895911205874539,67,585,-0.0452,-0.0211,0.6451632751223236,0.0653,
Pan-cancer (RAS-excluded),ZNF502,-0.3424,0.008905397702642447,67,585,0.0386,0.0677,0.6451632751223236,0.0652,
Pan-cancer (RAS-excluded),VRK2,-0.3418,0.023381821584242526,67,585,0.0731,0.0882,0.7119858820355325,0.0504,
Pan-cancer (RAS-excluded),PDE1B,-0.3414,0.009399348750542531,67,585,0.0086,0.0269,0.662362604915881,0.0611,
Pan-cancer (RAS-excluded),NFS1,-0.3413,0.0036931075188394702,67,585,-1.8018,-1.6826,0.5559311675252981,0.087,
Pan-cancer (RAS-excluded),TSPEAR,-0.3406,0.005311127305913365,67,585,0.0159,0.0548,0.5616487887061005,0.0853,
Pan-cancer (RAS-excluded),SNTB1,-0.3399,0.023298319617135903,67,585,0.0119,0.0317,0.7119858820355325,0.0501,
Pan-cancer (RAS-excluded),FAM50A,-0.3397,0.008658515294623482,67,585,-0.7924,-0.4807,0.6451632751223236,0.0647,
Pan-cancer (RAS-excluded),PPP1R2,-0.3391,0.005875232617334466,67,585,-1.0295,-0.8966,0.5864969711684321,0.0786,
Pan-cancer (RAS-excluded),FBXL8,-0.3391,0.004421407351090128,67,585,-0.1375,-0.091,0.5598093086198781,0.0854,
Pan-cancer (RAS-excluded),STRA8,-0.3386,0.004450016304255978,67,585,-0.0404,0.0041,0.5598093086198781,0.0853,
Pan-cancer (RAS-excluded),SMCHD1,-0.3384,0.020127096671685805,67,585,-0.1211,-0.0774,0.6967120484934631,0.0531,
Pan-cancer (RAS-excluded),FBXO47,-0.3384,0.0032436679405577857,67,585,-0.1642,-0.0993,0.5559311675252981,0.0863,
Pan-cancer (RAS-excluded),LARP7,-0.3382,0.006879426725518324,67,585,-0.1939,-0.1288,0.5910446511533526,0.0772,
Pan-cancer (RAS-excluded),C14orf39,-0.338,0.020759520816087035,67,585,0.0756,0.098,0.6967120484934631,0.053,
Pan-cancer (RAS-excluded),CBY2,-0.3379,0.0061258093423137835,67,585,-0.0669,-0.0294,0.5910446511533526,0.0772,
Pan-cancer (RAS-excluded),GRID2IP,-0.3378,0.003286983165055108,67,585,-0.087,-0.0433,0.5559311675252981,0.0861,
Pan-cancer (RAS-excluded),STAR,-0.3371,0.012301718131907809,67,585,-0.0206,0.0096,0.6780490098953341,0.0569,
Pan-cancer (RAS-excluded),MT1E,-0.3368,0.1381956506851552,67,567,-0.4752,-0.4395,0.887094148871769,0.0175,
Pan-cancer (RAS-excluded),CDH5,-0.3365,0.008798831182045946,67,585,-0.2056,-0.1618,0.6451632751223236,0.064,
Pan-cancer (RAS-excluded),ANGPTL1,-0.3361,0.006893610030286742,67,585,0.011,0.0347,0.5910446511533526,0.0768,
Pan-cancer (RAS-excluded),PRKRA,-0.336,0.011096036705517462,67,585,-0.6701,-0.6004,0.6780490098953341,0.0567,
Pan-cancer (RAS-excluded),GRIN2C,-0.3359,0.028740749632731273,67,585,-0.023,0.0044,0.7265651525977933,0.0466,
Pan-cancer (RAS-excluded),CASR,-0.3356,0.0010744657679795974,67,585,-0.0217,0.0144,0.5047088523415719,0.0997,
Pan-cancer (RAS-excluded),LDHD,-0.3353,0.004546595106012866,67,585,-0.0759,-0.0423,0.5598093086198781,0.0845,
Pan-cancer (RAS-excluded),MAP2K7,-0.3352,0.030800925247116803,67,585,-0.2317,-0.1811,0.7292061268402719,0.046,
Pan-cancer (RAS-excluded),TENT5C,-0.3347,0.0694906481041079,67,585,0.0174,0.0385,0.818258030768385,0.0292,
Pan-cancer (RAS-excluded),RCAN2,-0.3334,0.01588202465874967,67,585,0.0351,0.0638,0.6780490098953341,0.0563,
Pan-cancer (RAS-excluded),HSPA12B,-0.3329,0.009761448674718494,67,585,-0.0309,0.0032,0.6655229512790012,0.0589,
Pan-cancer (RAS-excluded),KCNG2,-0.3325,0.005470380936479657,67,585,0.0219,0.0585,0.5669907547515418,0.0819,
Pan-cancer (RAS-excluded),SP5,-0.3321,0.004899756632843504,67,585,-0.1346,-0.076,0.5616487887061005,0.0832,
Pan-cancer (RAS-excluded),TBXA2R,-0.332,0.01651927575396098,67,585,0.0006,0.0281,0.6866422565440923,0.0542,
Pan-cancer (RAS-excluded),WDR54,-0.3318,0.024102137660786806,67,585,-0.2635,-0.2156,0.7119858820355325,0.0489,
Pan-cancer (RAS-excluded),CEP68,-0.3312,0.04353078937025168,67,585,-0.2198,-0.2081,0.7645918294910587,0.0386,
Pan-cancer (RAS-excluded),SRSF2,-0.3309,0.005575021520257305,67,585,-2.8519,-2.6591,0.5712326335984785,0.0805,
Pan-cancer (RAS-excluded),RPSA,-0.3308,0.07890409097426804,23,107,-2.6916,-2.5469,0.8264189575114487,0.0274,
Pan-cancer (RAS-excluded),NKAIN2,-0.3306,0.012541796036548723,67,585,0.046,0.082,0.6780490098953341,0.0558,
Pan-cancer (RAS-excluded),RETSAT,-0.3305,0.004674985114449343,67,585,-0.1992,-0.1546,0.5598093086198781,0.0833,
Pan-cancer (RAS-excluded),KIAA0930,-0.3302,0.0839423554268253,67,585,0.0527,0.055,0.8273583178811125,0.0272,
Pan-cancer (RAS-excluded),NOTO,-0.3299,0.011949233280387926,67,585,-0.2249,-0.193,0.6780490098953341,0.0557,
Pan-cancer (RAS-excluded),AGO1,-0.3293,0.02060917688521473,67,585,-0.1817,-0.1636,0.6967120484934631,0.0517,
Pan-cancer (RAS-excluded),VDAC2,-0.3291,0.13302085059891444,67,585,-0.1646,-0.1495,0.887094148871769,0.0171,
Pan-cancer (RAS-excluded),ALDOB,-0.3285,0.0077153223696022994,67,585,-0.0408,-0.008,0.6231686730150399,0.0675,
Pan-cancer (RAS-excluded),HOMER3,-0.3277,0.006215759501887087,67,585,-0.2256,-0.1902,0.5910446511533526,0.0748,
Pan-cancer (RAS-excluded),DNAAF11,-0.3272,0.016767882127019924,67,585,0.0877,0.124,0.6889998584401925,0.0529,
Pan-cancer (RAS-excluded),LMNA,-0.3265,0.001945695694716664,67,585,-0.2983,-0.211,0.5221159999823018,0.0921,
Pan-cancer (RAS-excluded),PRR14L,-0.3263,0.0016494688777629063,67,585,-0.0562,-0.026,0.5221159999823018,0.0921,
Pan-cancer (RAS-excluded),SMIM10,-0.3263,0.01407129998912179,67,585,-0.0128,0.0099,0.6780490098953341,0.0551,
Pan-cancer (RAS-excluded),TAFA5,-0.3262,0.005026437741641385,67,585,0.0732,0.1009,0.5616487887061005,0.0817,
Pan-cancer (RAS-excluded),GNAQ,-0.3261,0.006385970429627275,67,585,-0.4038,-0.3493,0.5910446511533526,0.0745,
Pan-cancer (RAS-excluded),NTN5,-0.3261,0.014561179710914036,67,585,-0.0653,-0.0376,0.6780490098953341,0.055,
Pan-cancer (RAS-excluded),OR5AP2,-0.3259,0.011701747291648577,61,570,0.1195,0.152,0.6780490098953341,0.055,
Pan-cancer (RAS-excluded),TBX20,-0.3253,0.014423615881999308,67,585,0.0571,0.0897,0.6780490098953341,0.0549,
Pan-cancer (RAS-excluded),PDCD10,-0.3252,0.005090882319761773,67,585,0.115,0.2227,0.5616487887061005,0.0815,
Pan-cancer (RAS-excluded),C6orf141,-0.3251,0.0018619722675614846,67,585,-0.1018,-0.0512,0.5221159999823018,0.0918,
Pan-cancer (RAS-excluded),ECE2,-0.3245,0.08274543069895993,23,134,0.0024,0.0473,0.8273583178811125,0.0267,
Pan-cancer (RAS-excluded),DHX38,-0.3239,0.003891601252420029,67,585,-0.638,-0.5731,0.5559311675252981,0.0826,
Pan-cancer (RAS-excluded),ARHGEF28,-0.322,0.0032436679405577857,67,585,-0.1451,-0.1065,0.5559311675252981,0.0821,
