,B_cell,CD4_T_naive,CD8_T,Dendritic_cell,Endothelial,Epithelial,Fibroblast,Goblet,ILC3,Inflammatory_Mac,Macrophage,Monocyte,Myofibroblast,NK,Paneth,Plasma,Th1,Th17,Treg,pDC
ZNF865,0.0060734306,0.0048972196,0.0051293503,0.0068816133,0.01709012,0.012834851,0.007407837,0.003012787,0.002195459,0.003520371,0.008779403,0.008070456,0.010265132,0.008426451,0.010020849,0.0052505597,0.0074622724,0.004722906,0.00708885,0.010319283
CTD-2537I9.18,0.0,0.00025471425,0.0,0.0,0.000496,0.00010391859,0.0,0.0,0.0029036112,0.0,0.0,0.0,0.0,0.0002444348,0.0,0.0,0.0,0.0,0.0,0.0
ZNF784,0.009069841,0.009167187,0.008406825,0.017813,0.011601106,0.02005894,0.006559383,0.011518492,0.0055872034,0.0077494457,0.011378377,0.013949904,0.0021325112,0.007966288,0.011238884,0.0039281435,0.0042707724,0.001372666,0.00788052,0.010290494
ZNF580,0.10023496,0.05517858,0.058868464,0.11783195,0.16891122,0.10666366,0.1439902,0.08650968,0.082385994,0.045016922,0.089326404,0.09668878,0.14702116,0.059831135,0.10689307,0.084369764,0.048522737,0.055060554,0.0672013,0.111653976
ZNF581,0.2506505,0.11102346,0.07606287,0.19297433,0.09732414,0.09024642,0.07549359,0.07656133,0.060562916,0.09684503,0.1334087,0.20573248,0.082717285,0.06475394,0.13578409,0.1028012,0.06301868,0.047149435,0.09088401,0.110916704
CCDC106,0.05444024,0.010081986,0.00147381,0.046250112,0.05030051,0.019324366,0.03414702,0.020722073,0.004680494,0.012330001,0.04122403,0.014010226,0.022024138,0.0051223305,0.018275809,0.011291814,0.0031440584,0.0021821938,0.004234503,0.020211749
U2AF2,0.075884566,0.076026194,0.09435867,0.082473695,0.11730792,0.11880465,0.1085224,0.094693646,0.06744165,0.07052068,0.09206598,0.0665825,0.08264663,0.07620955,0.10002154,0.045448225,0.07902965,0.055495843,0.0678899,0.08689971
CTD-2537I9.12,0.00020713614,0.00038018642,0.0005957078,0.0,0.0,0.0,0.0,0.0014422782,0.0,0.0,0.0012119187,0.00080264144,0.0,0.00025854225,0.0,0.0,0.000830469,0.0,0.0016359345,0.0
EPN1,0.07535222,0.05343241,0.0731603,0.10246693,0.21787953,0.3821971,0.13495661,0.20279269,0.055771064,0.09095261,0.1675061,0.16486502,0.08737399,0.063740365,0.12073081,0.07106559,0.048323594,0.059187923,0.056599174,0.10363129
RFPL4A,0.0,0.0,0.0,0.0033418676,0.0,0.0,0.0,0.0,0.0,0.0015864043,0.00029813312,0.0,0.0,0.0,0.0031963554,0.0,0.0,0.0,0.0,0.0
