cancer_type,gene,cohens_d,p_value,n_msi,n_mss,median_dep_msi,median_dep_mss,fdr
Pan-cancer (pooled),LRRC61,0.0095,0.9958843176414952,44,1142,0.1032,0.1049,0.9994897468710627
Pan-cancer (pooled),LRRC63,0.0255,0.843370549599852,44,1142,0.0626,0.0611,0.9507466207120108
Pan-cancer (pooled),LRRC66,-0.1387,0.7158623817834088,44,1142,0.0542,0.0628,0.900528158254406
Pan-cancer (pooled),LRRC7,-0.2064,0.2418087499415843,44,1142,-0.0303,0.0163,0.6046398961375747
Pan-cancer (pooled),LRRC70,0.2568,0.22253398398748703,44,1142,0.1588,0.1447,0.58354151314414
Pan-cancer (pooled),LRRC71,-0.0325,0.9472501516127502,44,1142,-0.1603,-0.1746,0.9857888838402916
Pan-cancer (pooled),LRRC72,0.0247,0.6643123024362217,44,1142,0.1123,0.1213,0.8804392020471756
Pan-cancer (pooled),LRRC73,-0.1105,0.9987473959810543,44,1142,-0.1678,-0.1656,0.9997185727366635
Pan-cancer (pooled),LRRC74A,-0.0896,0.4935309065305161,44,1142,-0.0074,0.001,0.7958185867804572
Pan-cancer (pooled),LRRC75A,-0.1419,0.34817680935077633,44,1142,-0.1647,-0.1287,0.6986524584230942
Pan-cancer (pooled),LRRC75B,-0.1155,0.4764245590684991,44,1142,-0.1813,-0.1767,0.7846543483628936
Pan-cancer (pooled),LRRC8A,-0.1292,0.381391507542413,44,1142,-0.0026,0.0079,0.7247489531308826
Pan-cancer (pooled),LRRC8B,0.1076,0.4509815645318467,44,1142,-0.0323,-0.0673,0.7702210147271686
Pan-cancer (pooled),LRRC8C,-0.2137,0.11607192124461703,44,1142,-0.0153,0.0224,0.4520602997040026
Pan-cancer (pooled),LRRC8D,-0.3853,0.014385712636655919,44,1142,-0.0172,0.0382,0.17760512177261722
Pan-cancer (pooled),LRRC8E,0.1545,0.07368367643759408,44,1142,-0.0615,-0.1054,0.36936594973511305
Pan-cancer (pooled),LRRCC1,-0.2588,0.13840206105831082,44,1142,0.113,0.1256,0.48375971868159284
Pan-cancer (pooled),LRRD1,-0.0522,0.7098422567710125,44,1142,0.0583,0.0517,0.898692473781051
Pan-cancer (pooled),LRRFIP1,0.062,0.7632636171020393,44,1142,-0.0106,0.0056,0.9210633231211163
Pan-cancer (pooled),LRRFIP2,-0.0916,0.7272817938067494,44,1142,0.1056,0.1138,0.9055544646030708
Pan-cancer (pooled),LRRIQ1,0.1375,0.237506259734918,44,1142,0.0112,-0.0017,0.600243092784611
Pan-cancer (pooled),LRRIQ3,0.1872,0.2794010094207101,44,1142,0.0709,0.0484,0.6408211179230946
Pan-cancer (pooled),LRRIQ4,0.2306,0.11277780748309066,44,1142,0.0166,0.0136,0.44552079003729866
Pan-cancer (pooled),LRRK1,0.0935,0.3872747368804961,44,1142,0.0375,0.0284,0.7291288646581452
Pan-cancer (pooled),LRRK2,-0.0445,0.7956085057453843,44,1142,-0.0672,-0.0639,0.934498632026758
Pan-cancer (pooled),LRRN1,-0.0908,0.8140055631251224,44,1142,0.1332,0.1285,0.9403990562719264
Pan-cancer (pooled),LRRN2,-0.032,0.638461668097877,44,1142,-0.0859,-0.0705,0.8678838731455562
Pan-cancer (pooled),LRRN3,0.2388,0.038596358941397596,44,1142,0.016,-0.0097,0.2794785135623367
Pan-cancer (pooled),LRRN4,-0.2212,0.408043826414598,44,1142,0.0703,0.0795,0.7401005311996922
Pan-cancer (pooled),LRRN4CL,-0.0682,0.37387402244639356,44,1142,-0.0597,-0.0379,0.718612401810085
Pan-cancer (pooled),LRRTM1,0.2614,0.060834943629229525,44,1142,0.0093,-0.0187,0.33803265392491927
Pan-cancer (pooled),LRRTM2,0.0416,0.6542455544306431,44,1142,0.0233,0.0149,0.8761876941142626
Pan-cancer (pooled),LRRTM3,-0.2012,0.12730195095490984,44,1142,-0.0194,0.0203,0.46890946642820225
Pan-cancer (pooled),LRRTM4,-0.0866,0.6935465983464966,44,1142,0.0309,0.0493,0.8925560938025572
