cancer_type,gene,cohens_d,p_value,n_msi,n_mss,median_dep_msi,median_dep_mss,fdr
Pan-cancer (pooled),KCNK5,-0.6617,0.00019536114403162613,44,1142,-0.0162,0.0408,0.023264717697491995
Pan-cancer (pooled),CMA1,-0.6617,1.1564139279492036e-05,44,1142,-0.0972,-0.0134,0.005456752142646623
Pan-cancer (pooled),NDUFS4,-0.6607,1.5031005527037714e-05,44,1142,-0.1808,-0.1027,0.006417165716793172
Pan-cancer (pooled),ZP3,-0.6539,0.0002282820938549034,44,1142,-0.1655,-0.0835,0.02425107791355611
Pan-cancer (pooled),SLC25A25,-0.653,6.27717605786809e-05,44,1142,-0.2811,-0.1667,0.01217183738664529
Pan-cancer (pooled),TAF1B,-0.6513,0.0006305158826231951,44,1142,-0.8123,-0.7261,0.04052251000471868
Pan-cancer (pooled),TTC27,-0.6485,4.037787560917911e-05,44,1142,-1.867,-1.6406,0.009980740788458134
Pan-cancer (pooled),MRPS18C,-0.6481,1.874465394588966e-05,44,1142,-0.4591,-0.2381,0.006859395712321377
Pan-cancer (pooled),MCM6,-0.6481,1.7501437984770922e-05,44,1142,-1.2258,-1.0318,0.006676984776700584
Pan-cancer (pooled),ZNF155,-0.6469,2.209830044109544e-05,44,1142,-0.192,-0.1066,0.0075309607475469035
Pan-cancer (pooled),GYS1,-0.646,0.00030395311680418143,44,1142,-0.0422,0.0335,0.02702782265195086
Pan-cancer (pooled),PSD4,-0.6419,0.0007015297256452131,44,1142,-0.2316,-0.1554,0.04272322464430981
Pan-cancer (pooled),MRPS35,-0.6373,0.00024749742855482705,44,1142,-0.6136,-0.4336,0.024771397114227323
Pan-cancer (pooled),NDUFAF1,-0.6335,0.00020898845459771173,44,1142,-0.4795,-0.3875,0.02386861133370426
Pan-cancer (pooled),THAP6,-0.6322,0.0008918398819019926,44,1142,-0.1188,-0.0651,0.048459336128438266
Pan-cancer (pooled),LYRM9,-0.6275,4.3210347514557585e-05,44,1142,-0.1423,-0.0607,0.009980740788458134
Pan-cancer (pooled),DMAC2,-0.6261,0.00028260289684653835,44,1142,-0.1456,-0.0654,0.02612037393482103
Pan-cancer (pooled),TRHR,-0.6259,0.000469590610398237,44,1142,0.185,0.2345,0.035056402434408954
Pan-cancer (pooled),RNPC3,-0.6246,3.302933818488037e-05,44,1142,-1.9902,-1.7075,0.009552404241824032
Pan-cancer (pooled),COX6C,-0.6215,0.0003324800684696461,44,1142,-0.6106,-0.4422,0.028800483612218476
Pan-cancer (pooled),MRPL32,-0.6208,0.00010154702923680037,44,1142,-0.7038,-0.5248,0.015930462706794647
Pan-cancer (pooled),MRPL46,-0.6196,0.0003554989577725495,44,1142,-0.5096,-0.3278,0.029927003811359557
Pan-cancer (pooled),ZNF891,-0.6172,0.0005785832574360931,44,1142,-0.0852,0.0002,0.03871110592942755
Pan-cancer (pooled),COX6B1,-0.6164,1.7220550662659884e-05,44,1142,-0.5623,-0.3879,0.006676984776700584
Pan-cancer (pooled),CLDN9,-0.6161,0.0001657465069339086,44,1142,-0.0653,-0.0015,0.0214582150660978
Pan-cancer (pooled),GPR148,-0.6146,0.00013150624258158542,44,1142,-0.0486,0.0229,0.018714590759765146
Pan-cancer (pooled),FAM222B,-0.6134,0.00013392039805753384,44,1142,-0.2438,-0.1731,0.018760364512262807
