gene,spearman_r,pvalue,fdr
ITPRID1,-0.3693,0.013630592389096106,0.37312446036105834
ARC,-0.3693,0.013630592389096106,0.37312446036105834
TDRP,-0.3684,0.013863906480289956,0.3745010761768272
NR0B1,-0.3683,0.013903120581898321,0.3745010761768272
ZNF143,-0.3683,0.013903120581898321,0.3745010761768272
ZBTB46,-0.3679,0.014021329469086078,0.3745010761768272
HEY2,-0.3679,0.014021329469086078,0.3745010761768272
HOXD1,-0.3679,0.014021329469086078,0.3745010761768272
SLC34A1,-0.3677,0.014060921890451304,0.3745010761768272
AMN,-0.3676,0.014100609340937384,0.3745010761768272
RPL3L,-0.3676,0.014100609340937384,0.3745010761768272
CHRNB2,-0.3674,0.014140392000653207,0.3745010761768272
CITED4,-0.367,0.014260313039538813,0.37601090117489844
CSHL1,-0.3669,0.014300478341623313,0.3765162652941351
HRCT1,-0.3666,0.014381097466342795,0.37753012821599746
SNTB1,-0.3663,0.014462102495664606,0.3785481718938195
ABCB4,-0.3659,0.014584336796055074,0.38115000054068543
LRRC37A3,-0.3658,0.023914691719278413,0.4311010905867422
PPP1R3C,-0.3655,0.01470744758558255,0.38162740261866157
TTLL3,-0.3653,0.09454533485004028,0.6065599583906295
ZNF319,-0.3652,0.014790010825070409,0.38314986117008387
PDCD6IP,-0.365,0.014831439809537408,0.38314986117008387
FAT1,-0.3649,0.014872967282452782,0.38314986117008387
OSBPL3,-0.3649,0.014872967282452782,0.38314986117008387
WDR5,-0.3648,0.014914593428063,0.3836709614995259
HMHB1,-0.364,0.024647877442917812,0.43201112017401194
MFHAS1,-0.3638,0.01520875480514093,0.38679854419315873
TUT1,-0.3634,0.015336322571998129,0.3878129431354801
MTNR1B,-0.3631,0.015421871007928606,0.3878129431354801
FAT4,-0.3628,0.015507823794739016,0.3878129431354801
TSEN54,-0.3628,0.015507823794739016,0.3878129431354801
UNC13D,-0.3625,0.015594182431582277,0.3878129431354801
EPC2,-0.3624,0.01563751441319941,0.3878129431354801
CAVIN2,-0.3622,0.015680948421077673,0.3878129431354801
MFSD10,-0.3622,0.015680948421077673,0.3878129431354801
IGDCC4,-0.3622,0.015680948421077673,0.3878129431354801
SLC6A11,-0.3622,0.015680948421077673,0.3878129431354801
CHRNA4,-0.3621,0.015724484643585834,0.3878129431354801
TMEM158,-0.3621,0.015724484643585834,0.3878129431354801
HEBP2,-0.3621,0.015724484643585834,0.3878129431354801
ZDHHC11,-0.3606,0.02834330070603265,0.44956045605861544
LRRC10,-0.3603,0.016299843168922284,0.39569632668577276
ASS1,-0.3603,0.016299843168922284,0.39569632668577276
ETFRF1,-0.3601,0.02636588433762741,0.43959263471239646
CLDN19,-0.3601,0.016344830296054096,0.3960308205516891
OR2Y1,-0.3599,0.026464162028012515,0.43959263471239646
PRRT1,-0.3598,0.016435119940433788,0.39610453290737274
GABRD,-0.3597,0.0164804228415449,0.39610453290737274
DHCR24,-0.3597,0.0164804228415449,0.39610453290737274
CEP70,-0.3595,0.016525831384871275,0.3961338993726497
NOTCH1,-0.3593,0.016616966168264437,0.3972562711959752
TFAP2E,-0.3587,0.0168005119247185,0.40004406216494387
HPGDS,-0.3584,0.016892925992777308,0.40064836382340885
ARPC1A,-0.3583,0.01693929400298675,0.4006880494374042
EDC4,-0.358,0.017032352947782724,0.4014960209244453
PRPH,-0.3577,0.017125843756938992,0.4014960209244453
LHCGR,-0.3576,0.01717275159840237,0.4014960209244453
PAK6,-0.3576,0.01717275159840237,0.4014960209244453
IQGAP2,-0.3574,0.017219767991684242,0.4014960209244453
PFKFB3,-0.3574,0.017219767991684242,0.4014960209244453
POLR2H,-0.3574,0.017219767991684242,0.4014960209244453
STEAP1B,-0.357,0.017361470440398537,0.40374988974882725
SH2B1,-0.3569,0.017408922999981362,0.40380593711470353
C5orf52,-0.3563,0.01759983053096471,0.4056738983463554
CAPN9,-0.3562,0.017647832722261975,0.4056738983463554
NUP85,-0.3562,0.017647832722261975,0.4056738983463554
CLTA,-0.356,0.01769594543188172,0.405739516104398
FAHD2B,-0.3557,0.01779250319759767,0.4063943723986321
DPYS,-0.3555,0.017889505413259777,0.406538443675219
ACTR3,-0.3555,0.017889505413259777,0.406538443675219
P3H1,-0.3552,0.01798695366742026,0.40677070543934873
FOS,-0.3552,0.01798695366742026,0.40677070543934873
MC2R,-0.355,0.01803584555629014,0.40677070543934873
GTF2IRD1,-0.355,0.01803584555629014,0.40677070543934873
FAM83G,-0.355,0.01803584555629014,0.40677070543934873
CRELD1,-0.3549,0.018084849552032895,0.40736350812556504
MON1B,-0.3548,0.018133965854173675,0.40795734976829856
WAS,-0.3546,0.018183194662449935,0.408552230949533
GAPVD1,-0.3543,0.01828199059741871,0.4087233059996477
PPP1R3G,-0.3543,0.01828199059741871,0.4087233059996477
TOMM34,-0.3542,0.01833155812464609,0.4088119865359507
PRPF40A,-0.3535,0.018581099387964213,0.41232563369579
CCDC177,-0.3532,0.018681714676396247,0.4125161873741191
UAP1L1,-0.3532,0.018681714676396247,0.4125161873741191
STAG2,-0.3532,0.018681714676396247,0.4125161873741191
MAP4K2,-0.3531,0.018732194295411578,0.4131220709922873
PRKCD,-0.3526,0.01888432347959049,0.41414199735782614
AP1M1,-0.3524,0.018986320235813335,0.41414199735782614
DDX5,-0.3524,0.018986320235813335,0.41414199735782614
APP,-0.3521,0.01908878072837387,0.4153194873986149
PRPF8,-0.3518,0.01919170658641674,0.4153194873986149
N4BP3,-0.3517,0.019243344537520257,0.4153194873986149
ARHGAP45,-0.3517,0.019243344537520257,0.4153194873986149
IDH3B,-0.3515,0.01929509944244541,0.4153194873986149
RTBDN,-0.3512,0.019398960932318188,0.41555958126220444
LAMC1,-0.3511,0.019451067927068164,0.4161785774848833
HNRNPH1,-0.3505,0.019660675695613024,0.4191628005021897
YTHDC2,-0.3501,0.0198191260646091,0.42054074596265223
RINL,-0.3501,0.0198191260646091,0.42054074596265223
VAX1,-0.3501,0.0198191260646091,0.42054074596265223
TKFC,-0.3495,0.020032063212030757,0.42305125992895753
TLCD2,-0.3488,0.020300937213745037,0.42305125992895753
LAMTOR3,-0.3487,0.02035507443615085,0.42305125992895753
CSE1L,-0.3486,0.020409332952512453,0.42305125992895753
LAIR2,-0.3486,0.020409332952512453,0.42305125992895753
PCDHB11,-0.3483,0.020518214703138513,0.4242916283966392
MMP21,-0.348,0.020627584139758424,0.4242916283966392
SEPTIN4,-0.3479,0.020682452264385965,0.4242916283966392
KIF26B,-0.3479,0.020682452264385965,0.4242916283966392
KIF22,-0.3479,0.020682452264385965,0.4242916283966392
MSRA,-0.3479,0.020682452264385965,0.4242916283966392
PSMB7,-0.3477,0.020737442939807806,0.4242916283966392
MEGF9,-0.3474,0.0208477927840178,0.4242916283966392
VRK1,-0.3473,0.02090315237381142,0.42493596605718686
ERVW-1,-0.3472,0.032705209847038307,0.46485900732299723
AKR1C2,-0.3471,0.02095863535641024,0.4252656411229655
CILP,-0.347,0.021014241942830306,0.4252656411229655
OGDHL,-0.347,0.021014241942830306,0.4252656411229655
HLA-DRB5,-0.3467,0.021125826772223882,0.42594597357623265
GPR151,-0.3463,0.02129413633215886,0.4265964965760987
SUB1,-0.3462,0.021350488984317073,0.42677175862743044
BTN3A2,-0.3462,0.021350488984317073,0.42677175862743044
TRIM7,-0.346,0.02140696672314197,0.42694877205368964
HCFC1,-0.3459,0.02146356976128586,0.4271274204437907
YTHDF1,-0.3459,0.02146356976128586,0.4271274204437907
TAOK2,-0.3455,0.021634132801207896,0.4290929215991787
TMCC1,-0.3452,0.02174847189886866,0.42925362795756855
SMCO1,-0.3449,0.02186331731475315,0.42925362795756855
RSPO3,-0.3447,0.021920930427343648,0.42925362795756855
LRRC40,-0.3446,0.021978670762272345,0.42925362795756855
ZFAT,-0.3445,0.022036538534221696,0.42925362795756855
ACVR1B,-0.3443,0.0220945339580762,0.42925362795756855
ZNF707,-0.3443,0.0220945339580762,0.42925362795756855
NDC1,-0.3442,0.022152657248922285,0.42925362795756855
SLIT1,-0.3439,0.022269288292943522,0.42925362795756855
ST6GAL2,-0.3438,0.022327796477299593,0.42925362795756855
MIB2,-0.3438,0.022327796477299593,0.42925362795756855
AP2B1,-0.3436,0.022386433391008723,0.42925362795756855
MEX3D,-0.3435,0.022445199250164225,0.42925362795756855
LRP11,-0.3433,0.022504094271060482,0.42925362795756855
OR13J1,-0.3433,0.03487092901139198,0.470045358131949
THAP11,-0.3429,0.022681556470145234,0.43032970835871726
ZNF831,-0.3426,0.022800514385988922,0.43032970835871726
TRPC5,-0.3426,0.022800514385988922,0.43032970835871726
TMEM43,-0.3426,0.022800514385988922,0.43032970835871726
PIK3AP1,-0.3425,0.022860188930734167,0.43054956673115924
CRACR2B,-0.3424,0.02291999415688867,0.4308562870545079
