gene,score,logfoldchange,pval,pval_adj,subtype
CLU,8.109155,,5.097310524187579e-16,4.651715961331401e-14,SST_PLTS
ST8SIA3,7.7804193,,7.228461321390103e-15,6.220596584817007e-13,SST_PLTS
HSP90AB1,7.70457,,1.3128467093993668e-14,1.1125036222660245e-12,SST_PLTS
TUBA1B,7.6323605,,2.304937243161792e-14,1.9334698319027375e-12,SST_PLTS
SCG5,7.6283174,,2.378379049916341e-14,1.985050132666357e-12,SST_PLTS
PEBP1,7.494785,,6.640716788098689e-14,5.3541585016277245e-12,SST_PLTS
MAF,7.4739213,,7.783981665535537e-14,6.185844568558839e-12,SST_PLTS
FAM65B,7.4557104,,8.93847936125255e-14,7.0027926278794155e-12,SST_PLTS
COL25A1,7.454544,,9.017902652326405e-14,7.031847190257711e-12,SST_PLTS
PNMA2,7.3252544,,2.384459193031293e-13,1.800158306229852e-11,SST_PLTS
RPL34,7.25433,,4.0365432957419875e-13,2.994455681825866e-11,SST_PLTS
NMU,7.250312,,4.1581375005810476e-13,3.069444699873361e-11,SST_PLTS
TUBB2A,7.215046,,5.391584053247751e-13,3.927579804403154e-11,SST_PLTS
MAP3K5,7.2123647,,5.498837999175732e-13,3.988218354948023e-11,SST_PLTS
RTN1,7.153698,,8.447076227935461e-13,6.021351462222321e-11,SST_PLTS
NRSN1,7.1381626,,9.458655085810365e-13,6.685055417881887e-11,SST_PLTS
PGRMC1,7.1061,,1.1936779402476685e-12,8.330166768728372e-11,SST_PLTS
PDE4B,7.0707874,,1.5405712027107026e-12,1.0529772471531712e-10,SST_PLTS
GRM1,7.070019,,1.5491251877722003e-12,1.0544844362175605e-10,SST_PLTS
PIK3R1,7.062308,,1.6375948813511797e-12,1.1101556483412957e-10,SST_PLTS
ELAVL2,7.043183,,1.878976871410982e-12,1.2533303958740964e-10,SST_PLTS
ARL6IP5,6.9770064,,3.0153557565398783e-12,1.9873826889036047e-10,SST_PLTS
