Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,subtype
KEGG_2021_Human,Neuroactive ligand-receptor interaction,8/341,1.8926612780488525e-06,0.0001438422571317128,0,0,11.22093522093522,147.86417275121602,CHRM3;GABRA1;CNR1;CRH;CCK;VIP;ADRA1A;GABRG2,CR
GO_Biological_Process_2023,Axonogenesis (GO:0007409),6/188,7.176833470268544e-06,0.004463990418507,0,0,14.811188811188812,175.4333815150427,APP;HSP90AA1;HSP90AB1;DSCAM;NRXN1;CCK,CR
GO_Biological_Process_2023,Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412),4/69,2.650437262169083e-05,0.0053956808688349,0,0,26.60200668896321,280.3372890754863,CHRM3;APP;CRH;FXYD6,CR
GO_Biological_Process_2023,Synapse Assembly (GO:0007416),4/71,2.967969962373722e-05,0.0053956808688349,0,0,25.80532121998702,269.02169328327335,GABRA1;DSCAM;NRXN1;GABRG2,CR
GO_Biological_Process_2023,Axon Guidance (GO:0007411),5/149,3.469891233977438e-05,0.0053956808688349,0,0,15.282407407407408,156.93201905371728,ALCAM;DSCAM;NFIB;NRXN1;NCAM1,CR
GO_Biological_Process_2023,Chemical Synaptic Transmission (GO:0007268),6/273,5.8777319840298435e-05,0.0054164458888049,0,0,10.052604698672114,97.93000700441284,CHRM3;GABRA1;NRXN1;CRH;GAD2;GABRG2,CR
GO_Biological_Process_2023,Regulation Of Epinephrine Secretion (GO:0014060),2/5,6.0956786529959696e-05,0.0054164458888049,0,0,277.0416666666667,2688.78505476905,CRH;VIP,CR
GO_Biological_Process_2023,Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949),2/5,6.0956786529959696e-05,0.0054164458888049,0,0,277.0416666666667,2688.78505476905,HSP90AA1;HSP90AB1,CR
GO_Biological_Process_2023,Central Nervous System Development (GO:0007417),6/283,7.171406787763353e-05,0.005575768777486,0,0,9.684771906793568,92.42007015387244,APP;RTN3;RTN1;NFIB;ZBTB16;PROX1,CR
GO_Biological_Process_2023,Nervous System Development (GO:0007399),7/433,9.49598543553091e-05,0.0065627810454446,0,0,7.460858172289552,69.10288874702876,CHRM3;APP;OLFM1;DSCAM;NRXN1;ZBTB16;PROX1,CR
GO_Biological_Process_2023,Lymphatic Endothelial Cell Differentiation (GO:0060836),2/7,0.00012760097078443218,0.0079367803827916,0,0,166.20833333333334,1490.3240703269437,NR2F2;PROX1,CR
GO_Biological_Process_2023,Commissural Neuron Axon Guidance (GO:0071679),2/8,0.0001698630098259154,0.0096049811010654,0,0,138.5,1202.2517804391236,NFIB;NCAM1,CR
GO_Biological_Process_2023,Regulation Of Tau-Protein Kinase Activity (GO:1902947),2/9,0.00021804660985203623,0.0113020826106638,0,0,118.70833333333331,1000.8064198202924,HSP90AA1;HSP90AB1,CR
GO_Biological_Process_2023,Central Nervous System Neuron Axonogenesis (GO:0021955),2/11,0.000332063883264561,0.0158879796454274,0,0,92.31944444444444,739.4956618223716,HSP90AA1;HSP90AB1,CR
Reactome_2022,Uptake And Function Of Diphtheria Toxin R-HSA-5336415,2/6,9.128927051395768e-05,0.0205400858656404,0,0,207.77083333333337,1932.5756890799971,HSP90AA1;HSP90AB1,CR
