gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
PTPMT1,-0.3228,0.0027772428131467935,-0.6877,-0.5716,107,1079,0.19541401244412648
AUP1,-0.2555,0.002837036324039343,-0.1906,-0.1484,107,1079,0.19886222294169312
LY6G5C,-0.2592,0.0028590692403956137,-0.0609,-0.0315,107,1079,0.19953841093919597
CDKN2B,-0.3156,0.0028716992236691666,0.0567,0.1091,104,1061,0.19953841093919597
ORC1,-0.287,0.002886830034334867,-0.8918,-0.8258,107,1079,0.19953841093919597
UBE2H,0.285,0.0028952061244893047,-0.3841,-0.4769,107,1079,0.19953841093919597
UGT3A2,0.2312,0.0029008025023978586,-0.0291,-0.0681,107,1079,0.19953841093919597
VPS51,0.2619,0.002912024890384279,-0.6717,-0.736,107,1079,0.19956572064771072
SIX3,-0.2643,0.0029516160124202426,-0.0373,-0.0073,107,1079,0.2015297821813599
MEP1B,0.2835,0.00296587431391049,0.0978,0.0681,107,1079,0.20175606264553464
NT5E,-0.2921,0.002994579620881082,-0.0261,0.0067,107,1079,0.20207340169801696
DRP2,0.2824,0.0030032405058958234,0.0153,-0.0151,107,1079,0.20207340169801696
AKT2,-0.3155,0.0030119242361271556,-0.1212,-0.059,107,1079,0.20207340169801696
TMEM39B,-0.2506,0.0030468886787572737,-0.1601,-0.1226,107,1079,0.20207340169801696
ERBB3,0.2963,0.003049819027752226,-0.1503,-0.2181,107,1079,0.20207340169801696
SGF29,0.3235,0.003049819027752226,-0.4496,-0.5724,107,1079,0.20207340169801696
MTFR2,0.2598,0.0030527519468818124,0.0171,-0.0098,107,1079,0.20207340169801696
INSIG1,-0.3154,0.003058625503534796,-0.0232,0.0334,107,1079,0.20207340169801696
MAGEB16,0.3335,0.003073354512483721,0.0046,-0.0356,107,1079,0.20207340169801696
AAK1,-0.3197,0.003082222935601251,-0.208,-0.1653,107,1079,0.20207340169801696
BATF2,0.2367,0.003091114688301643,-0.1017,-0.136,107,1079,0.20207340169801696
DGCR6L,0.2803,0.0031059862673069806,-0.0606,-0.1123,107,1079,0.20219692987480797
CUL5,-0.3099,0.0031149404982069684,0.138,0.1946,107,1079,0.20219692987480797
SRSF2,-0.3312,0.0031299165308868514,-2.7774,-2.6277,107,1079,0.20245617981368105
STYXL2,-0.2849,0.0031449581765389248,-0.0141,0.0254,107,1079,0.20271784609963314
ZNF223,-0.2662,0.003163095118686091,0.0857,0.1172,107,1079,0.20273920015597893
GPATCH8,-0.3214,0.0031721992959470938,-0.2234,-0.1593,107,1079,0.20273920015597893
P3H4,-0.2289,0.003178282009497039,-0.2535,-0.2228,107,1079,0.20273920015597893
RSL24D1,0.3523,0.0031962208094860048,-2.0813,-2.2228,94,973,0.20314219045264226
C9orf85,0.2657,0.0032150020711245128,-0.0108,-0.0479,107,1079,0.20314219045264226
BLID,-0.2706,0.003221159532002103,0.0155,0.0456,107,1079,0.20314219045264226
ERFE,1.4913,0.003235007886170677,0.2882,0.1189,4,41,0.20314219045264226
PDAP1,0.3084,0.0032396964466003156,-0.9411,-1.0496,107,1079,0.20314219045264226
TMCO4,-0.274,0.0033657803436370325,-0.1353,-0.1016,107,1079,0.21033274791508033
GBA2,0.274,0.0034077097124826984,-0.001,-0.0319,107,1079,0.21223354239735995
