gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
COX6B1,-0.6244,0.00016261807179664687,-0.5631,-0.4148,37,1149,0.016567640030600427
CEACAM1,0.6617,0.00016975321086745324,0.1233,0.058,37,1149,0.017196863412792678
MMAB,-0.6213,0.00017108174218011818,-0.1695,-0.0746,37,1149,0.017234082691189322
KLF15,-0.7617,0.0001744459824938587,-0.0585,0.034,37,1149,0.017474809564789834
HS6ST1,-0.6034,0.0001764942878641125,-0.6283,-0.4951,37,1149,0.01748463577730056
APEH,-0.6706,0.0001764942878641125,-0.2192,-0.1343,37,1149,0.01748463577730056
POLR2H,0.534,0.0001789125584805962,-1.2439,-1.4175,37,1149,0.01762681915448116
CELA3B,0.6885,0.00018171443632121646,0.1901,0.112,37,1149,0.017708269335194197
PRADC1,-0.6425,0.00018171443632121646,-0.3149,-0.2293,37,1149,0.017708269335194197
CCDC178,0.6181,0.00018491584184058069,0.0705,-0.0013,37,1149,0.017922843027261905
NFU1,-0.7179,0.00018744239989636387,-0.3623,-0.2108,37,1149,0.018070052002912368
GZMH,-0.6434,0.00019110810579325553,-0.3398,-0.2373,37,1149,0.018140593415017017
PHKG1,-0.6186,0.0001922208883416002,-0.3144,-0.2272,37,1149,0.018140593415017017
IGFBP7,-0.7081,0.0001922208883416002,-0.2006,-0.1029,37,1149,0.018140593415017017
PELO,-0.7673,0.0001922208883416002,-1.341,-0.9548,37,1149,0.018140593415017017
CDKN2B,-0.6119,0.00019449626544873415,0.0061,0.1076,37,1128,0.018259227935922787
NAT8,0.6976,0.00019635340564161957,-0.0252,-0.1197,37,1149,0.018309419748136106
ZDHHC11,0.7022,0.00019707311423736927,-0.0932,-0.2351,32,985,0.018309419748136106
CMIP,0.5473,0.0002001825472536633,-0.191,-0.3828,37,1149,0.01850243945775998
PYCR3,-0.7087,0.00020212332156971524,-0.0899,0.0074,37,1149,0.018586016815725966
SMR3B,-0.7467,0.00020446713312042547,-0.5601,-0.4249,37,1148,0.01860277444713434
ACSS2,0.6402,0.00020605801682378752,0.2376,0.1519,37,1149,0.01860277444713434
CASP7,-0.5871,0.00020645541882659827,-0.0829,-0.0191,37,1149,0.01860277444713434
MUC12,0.7133,0.00020645541882659827,0.2156,0.1179,37,1149,0.01860277444713434
CYB5B,0.4745,0.00021046922836275248,-0.178,-0.3543,37,1149,0.018869618668862574
LYRM7,-0.5842,0.00021538253168834506,-0.1536,-0.0646,37,1149,0.01909800011395912
RETNLB,-0.6595,0.00021538253168834506,-0.1422,-0.0558,37,1149,0.01909800011395912
CX3CL1,0.5654,0.0002162118132359434,0.1077,0.0556,37,1149,0.01909800011395912
ZNF789,-0.5701,0.00022125079927991215,-0.1745,-0.0904,37,1149,0.019447294519059338
MRGPRX3,0.5694,0.0002225276615597083,-0.1461,-0.2272,37,1149,0.01946411463135185
KIAA0513,-0.6266,0.00022553395904564264,-0.1007,-0.0213,37,1149,0.01957394123649255
CRYGC,-0.6324,0.00022596652924845002,-0.2645,-0.1703,37,1149,0.01957394123649255
ZNF729,0.5073,0.00022857834792163842,0.234,0.1745,37,1149,0.019704992098956244
EIF4EBP2,-0.6363,0.0002365848246833524,-0.2689,-0.1895,37,1149,0.02029761957606312
DDX43,-0.6488,0.00024814223995279664,-0.2091,-0.118,37,1149,0.021187802402826653
MED28,0.4552,0.00025099375730503674,-0.9018,-1.029,37,1149,0.021329711195434187
TBC1D26,0.6426,0.00025220030852543253,0.2127,0.1453,37,1128,0.021331149680044955
LST1,0.6271,0.00026072233687697696,-0.3139,-0.4263,37,1149,0.021814506601926024
TAS2R43,0.5117,0.00026121792764527196,0.0922,0.0118,37,1149,0.021814506601926024
C7,-0.5579,0.0002617144015472966,0.086,0.1456,37,1149,0.021814506601926024
PRPF39,-0.798,0.00026421006908045313,-0.6369,-0.4267,37,1149,0.021814506601926024
ZNF169,-0.6107,0.00026421006908045313,-0.2331,-0.148,37,1149,0.021814506601926024
FMO1,-0.5564,0.00026521456913835667,-0.2504,-0.1607,37,1149,0.021814506601926024
IFT22,-0.5932,0.0002677415047689474,-0.1233,-0.0421,37,1149,0.02185506380600208
FNDC8,-0.6297,0.0002692684810234391,-0.1585,-0.0792,37,1149,0.02185506380600208
MRPL14,-0.6401,0.00027080361744087676,-0.6281,-0.4586,37,1149,0.02185506380600208
ZBTB41,0.5862,0.00027131714991066177,0.1127,0.0072,37,1149,0.02185506380600208
HMOX2,-0.6136,0.0002728632292729675,-0.138,-0.058,37,1149,0.02185506380600208
CEACAM5,0.5922,0.000273380421383625,0.079,0.0179,37,1149,0.02185506380600208
STX16,0.5816,0.0002754583916210178,0.1219,0.0655,37,1149,0.02185506380600208
AMER2,-0.7225,0.0002754583916210178,-0.2464,-0.1522,37,1149,0.02185506380600208
ZNF211,0.5925,0.0002770265735437406,0.1493,0.0921,37,1149,0.021882658547193005
KRTAP5-3,-0.5629,0.00028284844227794835,-0.3333,-0.2338,37,1149,0.02221146889658828
HGF,0.4544,0.0002839192039036785,0.1794,0.1173,37,1149,0.02221146889658828
OR5F1,0.6406,0.00028490535085691287,-0.0321,-0.1091,33,1034,0.02221146889658828
MYH1,0.4971,0.00028824034566954886,0.1354,0.0883,37,1149,0.022374188909959656
PSMA4,0.6498,0.0002926230409276852,-1.2925,-1.5157,37,1149,0.02261648166756174
UBE2G1,0.5929,0.00029428258575536824,0.0468,-0.0609,37,1149,0.022647128949268274
MRPL34,-0.6232,0.00029650902825162075,-1.0101,-0.8352,37,1149,0.022709661602040916
AHI1,0.4603,0.000297628156627049,0.012,-0.0423,37,1149,0.022709661602040916
ZMYM5,-0.6811,0.0003004433099421169,-0.0866,-0.015,37,1149,0.022827326231237705
ILDR2,-0.7184,0.0003021443516886325,-0.1447,-0.048,37,1149,0.022846919032050474
SH2D3A,0.6286,0.00030614858739143336,0.0628,-0.0054,37,1149,0.022846919032050474
XKR9,0.5685,0.00030672466088090114,0.0515,0.0026,37,1149,0.022846919032050474
PIN4,-0.6143,0.00030730174925812,-0.3244,-0.2254,37,1149,0.022846919032050474
PIAS1,0.5748,0.0003078798541735796,-0.1502,-0.2769,37,1149,0.022846919032050474
TNFAIP8L3,-0.6131,0.00030903912023329787,-0.1012,-0.0318,37,1149,0.022846919032050474
GNGT2,-0.5664,0.00030962028469066225,0.0745,0.1573,37,1149,0.022846919032050474
CT47B1,0.5419,0.00031254148773376256,0.041,-0.03,37,1149,0.02296795662522171
CEL,0.6506,0.00031489700723714406,0.0258,-0.0541,37,1149,0.023046605048037676
HMGN1,-0.6084,0.000317564654729623,-0.4327,-0.3258,33,1034,0.023062422045462633
MFGE8,0.569,0.00031846146681575627,0.1188,0.0617,37,1149,0.023062422045462633
NEUROG1,0.6457,0.00031905920279241904,0.0281,-0.0446,37,1149,0.023062422045462633
APOBEC3C,0.6098,0.0003202578266309852,0.0137,-0.0525,37,1149,0.023062422045462633
DIRAS1,0.5638,0.000327538540710315,0.0307,-0.0259,37,1149,0.02349237429390663
APOL2,-0.5895,0.0003337238308846018,-0.0862,-0.0172,37,1149,0.02365218186399919
EPSTI1,-0.4979,0.0003337238308846018,-0.2144,-0.1374,37,1149,0.02365218186399919
LIMA1,-0.5454,0.0003337238308846018,-0.1035,-0.0322,37,1149,0.02365218186399919
OR10T2,-0.7244,0.0003362860949767795,-0.2758,-0.1726,33,1034,0.02373994475995525
PPP1R12B,0.5394,0.0003387505751876266,0.0764,-0.0023,37,1149,0.02382014338701699
ENSA,-0.4815,0.0003419281705333586,-0.4361,-0.3343,37,1149,0.023849635475726515
RETSAT,-0.6071,0.00034320699916516156,-0.24,-0.1617,37,1149,0.023849635475726515
DHRS4L2,0.6491,0.00034350690300611963,-0.0092,-0.0937,37,1128,0.023849635475726515
DDX5,0.5455,0.00034449030105477484,-0.5086,-0.6818,37,1149,0.023849635475726515
SFTPB,-0.5167,0.0003483671907022094,-0.2246,-0.1566,37,1149,0.02402527729415891
TMEM231,0.5454,0.0003503209038030858,0.1368,0.0819,37,1149,0.024067448758977514
SPG7,-0.5787,0.00036024412966304876,-0.013,0.0631,37,1149,0.024603352624059327
KRTAP1-1,0.5698,0.0003615869116770621,0.1074,0.0214,37,1149,0.024603352624059327
OR51F2,0.5574,0.0003631220160901361,0.069,0.0205,33,1034,0.024603352624059327
LMAN1,0.5866,0.0003636098625495356,0.1724,0.119,37,1149,0.024603352624059327
PPP1CC,0.4601,0.00036700498031860655,-0.1284,-0.2156,37,1149,0.024739722940199
CEP68,-0.5742,0.0003773690133446287,-0.2934,-0.2083,37,1149,0.025295394553839036
APOBEC3B,0.5774,0.0003780695856577358,0.0398,-0.0625,37,1149,0.025295394553839036
AKAP13,0.5166,0.00038585653468250694,0.0895,0.0081,37,1149,0.025672664232201506
IRX2,0.6207,0.00038657182213453834,0.1177,0.039,37,1149,0.025672664232201506
WHRN,-0.5817,0.00038944538188298,-0.0505,0.0121,37,1149,0.025768063256618873
KHDRBS1,-0.5375,0.00039452219525590917,-0.2774,-0.1659,37,1149,0.026008005452697453
TP53I13,-0.6112,0.00039745092743158155,-0.2123,-0.1108,37,1149,0.026061045934893952
PCDHA11,0.5619,0.0004003999628477579,0.0572,-0.0428,37,1149,0.026061045934893952
PF4,-0.7125,0.0004005713446881353,-0.3427,-0.233,33,1034,0.026061045934893952
SMARCC2,0.5862,0.0004011404092371162,-0.0188,-0.1074,37,1149,0.026061045934893952
ATP5MK,0.5499,0.00040336943095712913,-0.109,-0.1961,37,1149,0.026111253669647227
PACRG,0.5325,0.00040861555833424513,0.2133,0.1498,37,1149,0.026226486528224575
TCEA1,-0.5931,0.00040937018677438084,-0.2316,-0.1396,37,1149,0.026226486528224575
RRAGD,-0.6727,0.0004116418899021401,-0.1379,-0.0273,37,1149,0.026226486528224575
RTL9,0.5712,0.0004131628941794992,0.1186,0.0586,37,1149,0.026226486528224575
CYS1,-0.6332,0.0004139253631971198,-0.327,-0.2017,37,1149,0.026226486528224575
TLDC2,-0.5621,0.0004139253631971198,-0.0546,0.0065,37,1149,0.026226486528224575
BHLHA15,-0.6668,0.0004208469659976732,-0.3389,-0.2402,37,1149,0.026571151222902385
GRAMD2A,-0.5082,0.000422399707656811,-0.162,-0.0971,37,1149,0.026575611080681676
PIK3R5,-0.724,0.0004270900907677681,-0.0946,0.0012,37,1149,0.02673795237933488
PSG2,0.5792,0.00042827964788891824,-0.0511,-0.1402,33,1013,0.02673795237933488
ETFDH,-0.6429,0.00042945347639554096,0.0178,0.0846,37,1149,0.02673795237933488
F2R,-0.4781,0.0004358156703496833,-0.2035,-0.1282,37,1149,0.026996487122588494
TPSD1,0.5777,0.0004366171025347534,0.1631,0.0887,37,1149,0.026996487122588494
COMTD1,-0.6355,0.00043822409598472323,-0.2658,-0.1831,37,1149,0.02700273630619269
MIA3,0.7195,0.0004398366093565388,0.1191,0.0174,37,1149,0.027009281651959236
